Pt,GENE1,GENE2,GENE3,GENE4,GENE5,GENE6,GENE7,GENE8,GENE9,GENE10,GENE11,GENE12,GENE13,GENE14,GENE15,GENE16,GENE17,GENE18,GENE19,GENE20,GENE21,GENE22,GENE23,GENE24,GENE25,GENE26,GENE27,GENE28,GENE29,GENE30,GENE31,GENE32,GENE33,GENE34,GENE35,GENE36,GENE37,GENE38
1,7.47,0.7119,6.4051,2.8063,3.1678,9.8439,6.3908,5.8672,0.0637,4.4923,6.1513,1.5857,7.0901,0.2137,8.8161,4.5883,8.7188,7.1204,7.3495,5.2145,1.5154,0.7755,0.3439,7.7628,4.0723,8.8555,8.2758,3.9704,5.0606,8.2045,1.5226,6.2808,9.3346,8.708,6.3288,0.3527,0.1992,2.2193
2,1.509,8.6411,5.4978,9.9893,5.6081,0.4413,4.7383,4.3391,5.2349,3.0282,2.4279,4.0907,4.9072,6.3674,8.5498,0.4165,5.7175,1.02,8.0014,4.633,0.633,6.6377,2.3219,2.1579,3.3451,6.8791,3.2504,2.7043,5.8562,8.0767,3.7577,5.4727,6.4702,9.9245,3.3332,5.5526,0.5347,6.8845
4,8.5301,1.2936,9.3374,5.345,5.9136,7.8905,3.0349,9.9167,6.3759,7.9496,5.291,6.7372,3.8649,1.2057,0.9238,6.1512,3.4774,5.7297,4.0692,5.0087,9.1375,9.3421,4.6888,8.617,8.4649,3.004,1.5564,6.7943,8.2775,2.2275,9.8247,3.4863,6.6151,1.0596,4.2135,9.2857,7.159,5.2995
8,9.5164,2.1782,5.1226,0.0481,8.6855,7.9302,9.1363,8.4921,9.5955,9.171,1.3266,4.5164,8.1735,1.4717,1.0635,0.4346,0.4191,0.2142,1.4092,2.4327,5.4241,9.9425,5.4173,7.2247,6.7351,3.9987,4.9932,7.4344,0.1842,5.6208,1.7972,7.7056,0.0131,9.8045,1.4089,6.2313,3.757,2.1403
10,7.1779,4.6685,8.8198,0.9013,2.0648,1.4779,6.3394,9.467,2.4737,6.7163,5.0168,3.3174,6.3326,7.1671,5.5811,6.4712,3.1419,6.7552,2.3625,2.7672,5.2868,0.169,2.6962,2.3692,5.0763,5.6969,0.5345,3.0505,7.0322,9.2275,3.6008,2.9859,7.7466,8.4135,4.5816,7.6819,6.8503,3.974
13,7.6335,3.1084,9.6588,5.7155,5.4002,1.2188,4.5425,4.9949,3.5098,1.964,0.7621,5.1167,7.2001,0.0815,6.4588,9.0392,7.6757,0.6137,8.9594,5.5069,0.0566,9.8891,1.5045,2.0775,2.8802,3.9458,2.7962,8.4866,4.6839,1.9805,0.6647,7.4316,0.9669,7.1731,7.5359,9.8317,6.2195,8.5008
14,7.3347,2.2988,6.8263,9.6885,4.537,8.6406,9.8786,3.6614,5.1257,6.9923,2.5315,4.6725,5.9814,2.8427,0.7476,7.4811,9.3414,7.3065,8.0487,0.3331,9.9939,0.6758,3.9989,1.0861,2.4885,5.323,0.5063,8.5097,2.6271,4.9656,6.8648,6.111,0.5066,7.1365,0.4604,6.7517,6.8867,8.2618
15,0.9643,8.6816,3.7941,4.887,4.7946,6.6246,9.5286,4.5278,3.4068,4.5731,4.2137,8.1165,5.507,4.6615,9.5589,3.4782,3.3539,0.8836,2.5111,3.7232,9.1429,2.2622,9.3303,9.797,6.5105,7.9706,7.3078,3.3535,9.3557,0.0974,0.2345,8.9434,2.2465,5.0096,2.0238,5.0985,1.5388,2.0658
16,5.1714,6.0415,6.8105,2.0272,7.7768,2.5114,4.0476,4.159,3.7216,4.564,1.7163,9.2625,5.3544,1.2033,0.2181,0.819,9.8203,4.5977,6.4551,8.9615,5.6007,1.7901,0.1468,6.6034,7.3792,3.6167,2.8558,6.6033,0.1885,8.6042,8.855,2.2954,0.3404,3.405,2.6672,4.9715,4.9766,7.6616
17,5.9258,2.2392,0.4386,0.3119,2.5835,3.7422,8.3654,9.5304,2.6471,3.4995,6.0813,9.5957,6.3784,2.2127,9.3882,7.9558,6.4605,4.8262,7.0836,8.2637,5.5232,2.2973,9.19,0.455,9.8735,5.0721,7.6587,4.0512,6.1915,3.9101,3.2504,6.8411,6.6955,5.5507,1.5191,0.8553,4.358,5.9611
18,8.5093,2.4849,9.3652,4.8552,5.05,0.2894,9.593,2.463,9.9553,2.508,2.7198,1.0043,5.8832,4.6543,4.5334,5.2378,7.7673,1.7456,4.1689,5.4476,2.8468,9.2015,9.9142,9.8976,7.0436,0.2083,2.1797,1.7238,2.4461,6.2524,7.2412,4.5542,7.7543,9.9563,2.1465,4.6116,2.305,3.1619
19,2.8623,8.8398,6.3174,3.2986,6.4089,1.7906,8.3806,4.8835,5.7262,3.751,3.1049,0.6844,4.8624,9.5472,2.585,8.959,5.7006,1.0491,3.747,9.9301,3.5138,8.5233,6.4463,3.2465,2.809,4.9578,9.9564,7.0904,3.6537,7.4998,1.6419,8.6594,5.9865,8.5887,5.3978,0.5688,7.6302,1.2195
22,1.4704,1.3297,4.761,2.6211,5.5216,4.1898,7.38,9.2543,3.0652,9.0765,3.1917,6.9588,7.6274,6.135,7.8445,3.9709,2.9922,0.8341,3.7658,6.2355,8.8898,3.1556,7.0379,1.6194,1.651,5.1784,7.8633,1.5108,4.8158,8.7617,1.7704,1.5967,6.4373,0.2914,6.6365,1.918,7.9411,5.827
24,2.8212,0.9848,3.9073,5.6521,2.4399,7.9238,8.8153,1.7081,1.259,8.8297,1.1154,4.4138,6.143,0.6032,0.3716,2.5146,4.0502,8.3712,2.1944,2.2563,5.5346,6.4306,3.0421,1.3827,4.247,1.737,3.0615,4.5087,5.7968,8.5305,2.4251,7.3577,5.6368,4.0969,6.3023,3.0799,0.2965,8.8298
26,9.3243,5.4918,3.2894,7.2585,9.2986,5.955,1.432,5.6658,7.3256,0.5622,5.9748,1.9605,7.3773,4.9899,1.7542,0.0189,0.7284,4.291,8.7186,3.3781,1.0841,3.5677,3.2052,8.7912,0.7781,9.4721,1.6571,7.2148,3.4333,3.0651,5.7631,7.8026,0.1071,2.9124,0.7219,8.9866,7.8332,3.0808
28,5.2591,5.9212,1.1338,5.5756,6.764,5.572,9.5736,9.2596,2.0008,3.3213,5.3223,5.546,0.5897,4.5117,4.7248,1.9746,4.0322,5.7994,0.8641,4.5012,9.2689,4.2817,6.1132,4.8798,9.7114,4.6904,0.7381,3.0663,2.4693,9.7201,4.1514,0.4788,3.8206,8.3462,5.7612,6.0773,9.4049,1.4466
29,4.6493,8.4331,9.0255,7.3346,8.4163,8.2037,8.8171,0.3937,0.7887,5.0331,0.1117,0.2969,7.5212,3.8543,2.2737,7.2278,3.6928,2.1698,2.9025,3.8563,9.6869,9.1155,1.0631,7.4641,3.6523,8.9742,2.5193,6.4177,2.5465,4.7729,8.2514,5.3453,6.6024,0.919,2.3633,1.5392,6.4638,7.3152
31,8.4447,5.0186,1.1711,6.2812,6.402,0.3414,3.5969,2.4485,3.6332,2.492,5.6364,0.5979,9.2205,4.8713,0.5352,7.9409,0.9497,1.6373,0.9667,9.2719,7.6576,0.0386,3.8348,4.4056,2.8234,9.1468,7.8468,5.097,4.8565,1.6583,0.4514,6.4029,2.2166,3.9113,2.6616,9.4861,8.2011,0.5692
32,3.2591,1.2639,2.3892,2.0827,0.4594,0.3536,6.8208,3.5561,3.7869,5.8911,8.1738,9.3189,3.1699,5.1261,2.101,2.2873,2.9733,0.3714,0.8161,7.9262,9.5022,8.7851,6.2282,8.9892,6.4933,7.32,0.429,9.2558,8.4412,7.9898,7.3045,6.5513,3.6372,8.7231,6.3716,8.8113,0.325,7.9172
36,2.4486,7.2572,0.2332,3.0401,2.1474,6.6407,0.1066,2.5097,9.1142,9.8638,9.8571,0.5336,2.9606,6.2589,6.668,8.3583,3.5751,9.2845,9.991,7.2096,2.7808,0.8941,9.6644,5.6418,0.8333,0.2265,7.711,7.6364,2.305,7.8927,8.9475,7.906,7.113,5.3961,7.1942,7.0042,7.9799,0.624
39,1.9565,7.6973,0.3093,4.6683,1.5282,6.0888,7.4338,2.4336,8.6359,4.3529,6.5362,1.4291,0.4634,6.4284,6.3426,5.9842,0.5425,9.602,5.7064,9.2707,1.2211,9.0915,5.6795,7.0354,0.8263,8.3988,8.0913,0.3865,3.7674,9.3312,5.3377,4.4001,1.5001,1.3975,7.0911,3.35,0.3168,5.5416
40,0.1374,1.3053,4.6205,2.68,9.7139,6.508,0.6792,5.7428,0.6918,5.4293,5.2035,2.6836,4.7457,9.7131,9.2902,8.6401,8.1937,3.9657,1.6835,6.0582,8.7326,5.2709,3.6989,9.0519,8.7571,6.6025,8.2012,1.4894,1.4132,4.5773,8.5813,9.8592,7.6096,5.5672,5.6286,4.4294,8.193,4.2113
43,4.103,6.3741,5.7984,5.2205,0.9786,2.6729,7.15,3.0351,0.6751,8.1881,9.7762,5.1831,5.9777,4.094,4.7449,6.7952,7.0721,9.147,0.4749,9.1012,6.6612,9.1587,3.8878,4.2263,1.4653,9.6927,0.0756,2.3601,0.7685,9.4225,2.2229,3.0523,6.8417,6.1798,4.5566,4.949,3.9764,0.6856
44,6.4196,6.8069,3.9912,0.366,4.5878,6.6297,0.4948,3.8551,5.7422,0.75,6.859,3.4692,4.4767,9.7009,7.1688,5.319,5.3646,0.914,5.4897,9.5281,1.8377,5.4356,5.8427,8.8854,4.399,7.3655,0.7414,2.8371,6.7264,0.4943,4.2478,9.8539,7.2663,1.2859,2.5904,5.3515,0.0188,9.661
