Pt,mir-5029,mir-4440,mir-703,mir-4856,mir-3696,mir-7110,mir-8846,mir-1445,mir-5712,mir-9598,mir-3131,mir-4528,mir-2532,mir-1221,mir-4792,mir-6169,mir-6730,mir-3880,mir-4395,mir-4201,mir-4087,mir-1585,mir-1109,mir-2270,mir-7337,mir-7369,mir-6503,mir-7346,mir-6376,mir-1321,mir-5483,mir-6530,mir-1807,mir-3630,mir-7478,mir-5578,mir-259,mir-3562,mir-9636,mir-9626,mir-3660,mir-5945,mir-7485,mir-3225,mir-4423,mir-6864,mir-440,mir-158,mir-3384,mir-2116,mir-3494,mir-732,mir-9681,mir-6764,mir-164,mir-2783,mir-8607,mir-500,mir-6952,mir-8265,mir-1651,mir-231,mir-4497,mir-9842,mir-7986,mir-3371,mir-5693,mir-4934,mir-9780,mir-3823,mir-6866,mir-8165,mir-3400,mir-555,mir-2985,mir-6849,mir-7665,mir-2512,mir-1725,mir-5296,mir-6446,mir-4183,mir-4454,mir-2648,mir-1485,mir-4734,mir-7745,mir-5172,mir-7509,mir-9268,mir-2028,mir-5580,mir-6477,mir-8762,mir-5225,mir-8889,mir-8129,mir-7435,mir-3145,mir-3923,mir-1120,mir-7453,mir-5541,mir-4691,mir-3938,mir-2466,mir-3554,mir-3897
1,0.983748043,1.64300112,0.991516012,1.202483056,0.980679594,0.681206852,0.968868998,1.144706407,0.989672489,1.202665629,0.759030191,0.810297336,1.211483439,0.954294745,1.009320218,0.909610421,0.691244103,0.925226913,0.960944688,0.736617044,0.701693763,1.520882908,1.021964822,1.281942718,0.800643623,1.068822867,1.104178256,1.048001847,1.007072314,1.002704948,0.791625134,1.517158919,1.292707205,1.130227362,0.758634058,1.049208562,0.748752655,1.199146427,0.655836256,0.884310794,0.929799729,0.539957131,0.785384256,0.591379437,0.87929932,0.887643239,0.577495476,0.838060702,1.369177372,1.805261942,0.894553114,1.060079766,1.60438901,0.690751317,0.74136474,0.984976847,1.40009046,1.348178298,0.869628213,0.741817476,1.112802502,1.215498767,1.056892414,0.913751182,1.543911286,1.002845553,1.353109704,1.252018462,0.470567518,1.533440429,1.011140229,0.801245272,0.619087738,1.332868632,1.148045351,1.244404316,1.20984274,1.12173939,0.917039979,0.899871555,0.448111076,1.455962607,0.989116535,0.914072669,0.604643133,0.80285403,1.130239294,0.652928911,1.381524677,1.000101711,1.058903719,1.324336858,0.995302433,0.984133031,1.324076694,0.555394716,1.021114284,1.333568859,1.332879497,1.116963829,0.612317692,0.93049914,0.565828304,0.899800848,1.200943606,0.814820685,0.793722359,0.92995812
2,0.975632161,1.184830737,0.935947045,0.948953959,0.959721211,1.152969585,1.000430301,1.050828574,0.953829196,0.614125608,0.843385755,0.694055569,1.01743455,1.064742265,1.216488055,1.113627602,1.053629484,1.102195373,1.09383237,0.923589352,0.828999807,0.802018538,0.973317093,0.877848928,1.932453844,1.011822255,0.411174539,1.035676911,1.809624369,1.005058419,1.525516494,1.461799779,0.549082442,1.402596522,0.84551592,0.914695993,1.936775313,0.839091303,1.097009525,1.281780764,1.082652725,0.760583955,1.326198212,0.845122408,2.005441549,1.300198173,1.388506491,0.897779318,1.061180965,0.985392238,1.689801988,0.894565658,1.638848108,0.703645495,1.108157845,0.708127139,1.878261149,1.092525057,1.098269402,0.953898236,1.17982066,0.662906561,0.83801699,1.009846275,0.571673922,4.472451073,0.852627183,0.443929181,1.239176637,0.666686902,0.713214061,0.740905823,0.547214794,1.443356743,1.531316647,0.977368178,1.242454068,0.642292129,1.663763039,0.966140988,1.091087499,0.519617075,1.295572162,0.697721734,0.96289886,0.626908134,0.9633709,0.855640062,0.737984631,0.657367565,0.673144622,0.618445404,1.028552523,1.004568145,1.394239441,1.382079142,1.127688519,0.582064141,0.427038906,1.789635096,0.576268027,0.909000397,0.588482683,1.460741342,1.06446522,0.365381756,1.197387146,0.730561819
4,1.039982372,0.827910431,0.995047258,0.605955965,1.01577128,1.380662314,0.987635464,0.582743624,0.968277341,1.181416803,1.111406258,1.029389066,1.4827951,1.220687118,1.286902434,1.119298106,0.802697974,1.406364632,0.974835239,0.929755328,0.824894026,0.286432335,1.001945561,1.191561842,0.890849397,0.98585136,1.982852039,1.004725837,0.851028208,0.995871418,1.153681187,0.390157686,1.04874686,1.479604628,2.39287632,0.502974349,0.667371032,0.85053824,0.403549567,0.645764006,2.219229534,2.460396565,0.76240278,1.480307222,0.775574355,1.087488946,0.548346381,0.940196682,1.1395097,0.863206154,0.585631653,1.006038929,0.706901575,1.816365935,0.558585138,1.010458109,1.062876191,0.510779705,1.04356167,1.175691331,0.715310885,0.922959102,0.743319049,1.059780763,0.808055343,1.459644404,0.676174497,1.002574413,1.18238744,2.423994312,0.93186707,1.049682214,0.755786428,0.957438763,0.845956104,1.18480974,0.801453442,0.827293685,0.981882221,0.937603044,1.382364851,1.070325232,2.421697193,0.749009986,0.890774492,1.594244641,0.9474501,0.962816217,1.034994712,0.972595666,0.791663838,0.751354006,0.9927823,0.968774634,0.978231293,0.675919656,1.009272801,0.82812781,0.719793727,0.819275716,0.692856688,0.666477475,0.886433253,0.649591363,0.554360107,0.890979311,1.042231542,1.482338243
8,1.147063724,0.900515439,1.023603801,0.617705314,1.075767248,0.757093292,1.155467941,0.43374587,1.387192952,1.211737912,1.677220688,1.128220481,1.116881155,1.555102552,1.813805934,1.120481565,1.360228006,0.430076375,1.100237488,1.58869699,0.83002323,1.414267274,1.100031088,0.829382748,1.313294245,1.206658275,1.527121188,1.164354605,1.464430408,1.127361627,1.842884153,1.622160943,0.956167725,1.513843908,1.294612233,1.329262558,0.583327084,0.722352157,0.797001331,0.672591163,0.802424163,1.793770112,1.038855596,1.207470861,1.240712559,0.355049654,0.538580075,1.348133436,1.710829864,1.532946683,1.145480364,0.498609691,0.417517584,1.023778405,1.505449979,0.525474357,0.428105894,0.557757051,0.24313056,0.809924984,0.901353979,1.906298003,0.619616736,0.57138611,0.771504599,0.250048683,1.291708412,1.11549767,0.805406893,0.473879145,0.44048457,0.874906838,1.205950152,0.863635842,0.821849292,1.09978973,0.092515651,0.866425662,1.267653906,0.333366017,1.257933836,0.999454278,0.647359624,1.146320365,0.376684804,1.719474475,1.248990523,1.49499868,1.049478985,0.852433319,1.597352507,0.985405941,1.058515182,0.967468618,0.335783627,0.580103911,1.091627543,1.685720428,0.208148554,0.910128892,2.040937719,0.872435378,1.593701743,1.308506734,0.908326925,0.740487956,0.493034845,0.861766383
14,1.019993317,1.927310035,0.979023577,0.868991893,1.006376133,0.90477109,1.010144167,1.530837354,1.011421559,0.974575464,1.034647992,0.537835472,0.855724141,1.738170993,0.393472413,1.035434558,1.272668682,1.235038131,1.041134156,1.262131337,1.336978895,0.775920022,0.963950993,1.748449864,1.686989657,0.966861154,0.537331109,1.003062289,1.502836925,0.992150689,0.686351746,1.135065524,0.719117051,1.128745378,1.056130279,0.680705,1.028250969,0.848345784,1.311172784,1.069649144,0.923685028,0.572310034,0.910893951,0.796798606,0.761399406,1.012539244,1.810868043,0.683986982,1.475773954,1.056758552,1.114973613,0.945979017,1.600136763,0.676877218,0.834357098,1.33117751,0.732573802,0.80573559,0.87957788,0.938834477,0.739963268,0.90151781,1.264472465,0.971342201,0.711455465,1.242049125,0.930193034,0.991233784,1.243712288,0.850644119,1.044887878,1.291633037,1.0531493,1.916942446,0.681783511,0.69972508,0.968365768,1.338706462,0.790271242,1.062692132,0.829582334,0.810446949,1.151314793,0.995722585,1.6785328,1.211054621,0.811369924,0.71625963,1.183864689,0.583269125,1.147727696,0.662669652,1.253202748,1.029591069,0.884996648,0.941201432,1.050618829,1.776993419,0.562981012,1.295223625,1.400667344,1.035599842,0.90553929,0.665808915,0.863383168,0.794487012,1.379835877,1.473423239
15,0.9907201,0.79530901,1.003335007,0.722963452,0.984442068,1.402452041,1.017904518,1.223212581,0.979690557,2.270159547,0.928277637,1.839253411,1.336197823,0.723913715,1.648231661,1.10780388,0.668744866,0.728957271,1.035612409,0.916216077,0.883012097,1.6446226,1.020078793,2.211979029,0.767783969,1.034012234,2.198552978,0.981777346,1.068803591,1.021269282,0.498746766,0.553196372,0.636949096,1.036052896,0.50469856,0.759393971,1.706297287,1.046211894,0.80732771,0.844979842,0.628972097,1.141618271,1.034687258,1.072976732,1.449878949,1.857116346,0.902819893,1.921773516,1.836904158,1.100764867,1.043044928,0.319816408,1.554374931,0.529800765,0.960155756,0.404231418,1.13814765,1.112648609,0.551165751,1.177083452,0.809602433,1.090643492,0.556038916,0.972195902,1.032230097,0.736108249,0.380300984,0.961053247,1.671407333,1.710184081,1.054774274,1.145058036,1.088651724,0.564250819,1.362918175,1.321030787,1.379028258,1.051214831,1.928512031,1.329755456,1.755765432,0.819072585,1.156533255,0.544773236,1.506135157,0.710739444,1.101688315,1.446058834,0.650275443,1.001277285,0.706522104,0.574313031,0.786725127,1.027856026,0.679409325,0.75477095,1.029200046,0.782582431,1.597879239,0.975716265,1.497576667,1.162684357,0.725959974,1.639604409,1.421610193,0.681666284,0.916565411,0.881968557
16,1.012017527,0.887079492,1.009977781,0.898812162,0.991410132,1.248619697,0.999134129,1.433498989,0.98335817,0.830924238,1.158371005,1.382348345,0.952729108,1.057868393,1.008620167,0.968052924,1.291215173,1.210880297,0.960679862,0.724281818,0.928049022,0.835660561,0.994534051,1.0943724,0.944236566,1.022071001,0.623708701,1.033146468,0.912948512,0.996771962,1.033367792,0.963969193,1.59180159,1.23412476,0.81880004,0.779109736,2.023213337,2.438188055,0.684534478,1.447767039,1.12128954,1.265504282,1.031264107,1.07107616,1.087164945,0.595930562,0.85720736,1.60690208,0.859140825,0.978896497,1.686852726,0.783557136,1.146329781,0.892520072,0.841960636,1.039371872,1.008197304,1.080433307,0.50375112,1.308602762,0.839823839,1.495195528,1.38629465,0.870487539,0.768011744,0.606659403,1.703661754,1.026278698,0.529566843,0.853925644,1.402457116,0.962388309,0.865336472,0.784014062,1.014075353,1.097477756,1.626980641,0.976879377,0.92078437,1.061644665,0.846784708,1.435556286,0.787303894,1.299330404,0.583849997,1.405986411,2.384703422,0.686732285,0.722483737,1.171553912,0.760073017,0.666025631,1.010262557,1.000594811,0.986361442,0.928473242,1.00755591,0.806918191,1.018663894,0.865846694,0.981541734,0.998441845,1.102445121,1.092036034,1.142103833,1.586203212,0.624148377,0.854311855
17,1.013344371,0.451214683,0.989179321,0.839876687,0.978638281,1.396700498,0.991686243,1.406801769,0.981257145,1.079301641,1.10363632,0.996386117,0.905664862,1.05598609,0.403745234,1.037889584,1.165516586,1.061432509,0.92330442,1.14754574,1.263539404,0.87923112,0.999999063,1.710856206,2.019725074,1.020750097,1.065019612,1.014429486,1.874068215,1.029128982,1.004528056,0.880573858,0.623030676,0.657294018,0.937387073,1.320817322,1.504677455,1.48784761,0.610709614,0.998358122,1.124511592,0.628760811,0.796989337,0.959849534,0.82473737,0.787722472,1.284519398,1.75549132,0.882025415,1.15951918,1.269341449,1.154308095,0.806003826,0.815501644,1.252660741,0.73636313,0.792803063,1.353883611,0.64582646,0.646037624,1.154908852,0.958740167,1.239023158,0.879928838,1.458344597,0.678887373,1.15099594,0.698442967,1.06813973,0.493258031,1.036687709,1.409585799,0.352547347,0.880214886,1.163000781,0.992946652,0.557540592,1.198057524,0.662823141,1.004967765,1.096861948,0.743087569,0.867583113,1.142503441,0.434815176,1.005336044,1.135236278,1.409131558,0.923963637,1.115337282,1.756181496,0.992175453,1.005604996,0.988464713,0.677644031,0.777278347,1.019082679,1.051085835,1.169106624,0.971091794,0.675620861,0.956391438,0.580894385,0.492534117,0.86713595,0.887691579,0.817824154,0.84587092
18,1.203323326,0.791236662,1.120799115,0.817286698,1.358708446,0.819406376,0.917181433,1.663018306,0.984584228,1.651272523,1.020263094,1.069586192,0.888896739,2.403111067,0.738092815,1.119413477,0.646379735,1.768159461,1.350419596,1.644360507,1.837209302,1.545829783,0.955323383,0.921858238,1.224479809,0.969749611,1.409465546,0.849636711,0.403621191,0.96237473,0.788573103,0.881921608,0.911592994,0.88129958,0.485292064,1.270765271,0.670928404,1.410746252,1.358329086,1.012326426,1.541082401,0.923449179,0.899871795,2.411446876,1.854330151,1.06827095,1.171503217,0.348811885,1.0179759,1.170384439,0.977151042,1.705388973,0.925960788,1.015504165,0.694965178,0.893862897,1.19277656,1.100803151,1.402677396,0.422895348,1.429476555,1.107346296,2.329149247,0.924985517,1.934981592,0.440729727,1.240365267,1.093962535,1.845485155,0.661088891,1.690753573,1.143045731,0.975848,1.081388875,0.827008436,1.575656026,0.716843564,0.985683172,0.71816969,0.8416394,0.74919975,1.520619178,0.993725101,0.587624405,1.138674884,1.083988568,1.483399767,2.020652452,1.125356067,1.148404371,0.759321091,0.73856822,0.988209748,1.026936762,1.14943056,1.101791128,1.244591833,1.125004043,0.810048245,1.170256605,0.768416308,0.970582851,1.501191956,1.09771799,1.042195212,0.738455219,1.186800419,1.275657063
19,1.191071759,1.058296975,1.097745601,1.108836217,1.160015098,0.872176452,1.119059233,1.080194126,1.089292756,0.764154956,1.106884729,1.048185968,0.83290631,1.167003517,0.494013223,1.14660935,1.683623468,0.744547219,1.008763103,1.381114462,0.965260851,1.287489903,0.997483862,0.587569697,0.673128832,0.960694739,1.015567229,1.001446234,0.420666029,0.982331049,1.028224932,1.029084303,1.485380902,1.210994573,0.535261784,0.799860023,0.769960667,1.100667577,0.80842772,2.386805397,0.736902394,0.683764064,0.85560324,0.7745076,0.918089532,0.748261697,0.939718367,0.693840158,1.393902896,0.75473275,0.651698128,1.282503615,0.672594182,0.479850327,0.865970018,1.238308458,0.60974514,1.082819596,1.409680271,0.797869477,0.911095168,1.168989564,1.199597982,1.08586186,0.770032852,0.756689347,0.927030103,1.121024489,0.668956531,1.455725453,2.550480562,0.84850954,0.695039157,1.16105755,0.9203215,0.722487729,0.50289447,0.840166514,1.049045951,1.428143079,1.496421539,0.452317989,1.19586782,2.218259852,1.094080126,1.163942848,1.072637572,1.24975313,0.611693357,1.612719104,1.018479126,1.147013856,0.896468795,0.997383247,1.078162116,0.868013487,0.96398566,0.670291234,1.486232733,0.795881337,1.431669774,1.049343493,1.239129378,0.964663628,0.52022519,1.064074421,1.26497124,1.107911406
